d375bc1,Tester,6 weeks ago,finish add chat module + add Multidex success
d6b8b95,Tester,6 weeks ago,before import recent chat module on progress report #4
2a419d4,Tester,6 weeks ago,test push slack
e7b040e,Tester,6 weeks ago,add untracked file
ac7ebd6,Tester,6 weeks ago,remove multidex / push code for next Feb's development
2b5a78c,Tester,6 weeks ago,apply multidex / patch sms bug
9412a5c,Tester,6 weeks ago,clear dex method
7c03549,Tester,6 weeks ago,change all the activity / fragment structure / fix data bugs / add maintainability / 1 day before launch
05f85bf,Tester,7 weeks ago,remove chat module for faster compile
ee58535,Tester,7 weeks ago,2 days left
ac2b128,Tester,7 weeks ago,finish data flow from friend list / recent chat to chat room completed !
c8c3837,Tester,7 weeks ago,fix bugs
d2990e1,Tester,7 weeks ago,fix tons of bugs in details
b4a5863,Tester,7 weeks ago,add chat modules
3bd9711,Tester,7 weeks ago,add custom font module
f56e403,Tester,7 weeks ago,Merge branch 'dev'
5edf282,Thananon Ngoenthaworn,10 weeks ago,Merged dev into master
c494084,korrio,10 weeks ago,patch
3811fd9,korrio,10 weeks ago,remove some unused library and refactor more code on AddFragment
f6d3b9a,Thananon Ngoenthaworn,2 months ago,fix settings bug
6845831,Thananon Ngoenthaworn,2 months ago,decoration and clean code
8bb13b4,Thananon Ngoenthaworn,2 months ago,added material-camera lib and change SettingsActivity
ecbde7c,Thananon Ngoenthaworn,2 months ago,before add camera
a60a053,Thananon Ngoenthaworn,3 months ago,remove all unused module
39b0a3c,Thananon Ngoenthaworn,3 months ago,remove ParseUI
e7674a0,korrio,3 months ago,init
c309dc9,korrio,3 months ago,git add -A
1225b0f,chonlakant,3 months ago,before korr's fork
2edcdbc,chonlakant,3 months ago,Add 'app/libraries/AgentSdk/' from commit '8a608c4793a8962a27fe6d5b7aaf758fbe6f323d'
d411d56,chonlakant,3 months ago,แก้ไขHistoryChat
abc972c,chonlakant,3 months ago,แก้ไขModule Chat
8b9bddb,chonlakant,3 months ago,แก้ไขข้อความchat ให้อยู่ซ้ายและขวา
d1da271,chonlakant,3 months ago,แก้ไขข้อความchat ให้อยู่ซ้ายและขวา
3e301e2,chonlakant,3 months ago,แก้ไขModule chat
53804e0,chonlakant,3 months ago,Create Group chat
c3d98bf,chonlakant,3 months ago,แสดงรายชื่อหน้าContact list
8aa1ff2,chonlakant,3 months ago,แก้ไขการแสดงผมหน้ารายชื่อเพื่อน
77fe23c,chonlakant,3 months ago,แก้ไขการแสดงผมหน้ารายชื่อเพื่อน
2f5fc35,chonlakant,3 months ago,แก้ไขLogin
40f3f4f,chonlakant,3 months ago,เพิ่ม module chat
6a91220,chonlakant,3 months ago,ลบ module chat
896e4a0,chonlakant,3 months ago,เพิ่มModuleChat
9063b7f,chonlakant,3 months ago,Create RQ code , Add Username
890446c,chonlakant,3 months ago,Create RQ code , Add Username
59beb58,chonlakant,3 months ago,ทำหน้าค้นหาเพื่อนด้วยUsername ได้แล้ว
2695b64,chonlakant,3 months ago,เพิ่มProgressBar หน้าLogin , เปลี่ยนToast เปนSanck Bar หน้าLogin
3a2ae3c,chonlakant,3 months ago,แก้ไขState Editext on and off
9c803f3,chonlakant,3 months ago,แก้ไขLayout CreateGroup
ec795ba,chonlakant,3 months ago,เพิ่มConverStaionId OneToOne
1ad15bd,chonlakant,3 months ago,เพิ่มConverStaionId OneToOne
c93f264,chonlakant,3 months ago,แก้ไขAPIหน้าFriendsList
687394d,chonlakant,3 months ago,เพิ่มToolbarหน้าSettingActivity
c289c30,korrio,3 months ago,Merge remote-tracking branch 'origin/develop' into develop
5fb57a6,korrio,3 months ago,delete ChatUtil
e49b554,chonlakant,3 months ago,Merge remote-tracking branch 'origin/develop' into develop
c7ed9a9,chonlakant,3 months ago,Add toolbar setting
c3374ef,korrio,3 months ago,edit ajax.php to request.php
d3fbd4d,chonlakant,3 months ago,Merge remote-tracking branch 'origin/develop' into develop
c7f2e4e,korrio,3 months ago,refactor code
d3e7d09,chonlakant,3 months ago,test new branch
e3e879f,chonlakant,3 months ago,Remove log and unused code
02cdc41,chonlakant,3 months ago,Remove log and unused code
d558f7a,chonlakant,3 months ago,new
06fb644,chonlakant,3 months ago,new
d448ba7,chonlakant,3 months ago,แก้ไข
e064e84,chonlakant,3 months ago,แก้ไขชื่อ
261e325,chonlakant,3 months ago,Add font
cfbc266,chonlakant,3 months ago,new
6b47b81,chonlakant,3 months ago,icon
9dc2eb8,chonlakant,3 months ago,new
02f5d90,chonlakant,3 months ago,first commit
487dfd9,chonlakant,3 months ago,first commit
7642f0b,korrio,3 months ago,review code
